Organization	Type	Agency	Subagency	Site	Avatar	Blog	E-Mail	Repositories	Missing Project Descriptions	Info
fcc	Government	FCC		https://github.com/FCC	https://avatars.githubusercontent.com/u/632838?v=3	http://fcc.gov	developer@fcc.gov	66	7	
fccdata	Government	FCC		https://github.com/fccdata	https://avatars.githubusercontent.com/u/2538852?v=3	http://www.fcc.gov/data	developer@fcc.gov	2	1	
FCCdev	Government	FCC		https://github.com/FCCdev	https://avatars.githubusercontent.com/u/9555137?v=3	http://fcc.gov	fcc-dev@googlegroups.com	20	1	
fda	Government	HHS	FDA	https://github.com/FDA	https://avatars.githubusercontent.com/u/6471964?v=3	http://www.fda.gov/privacy	open@fda.hhs.gov	2	0	The official GitHub page for the US Food and Drug Administration. Privacy Policy @ http://www.fda.gov/privacy
Federal-Aviation-Administration	Government	Transportation	FAA	https://github.com/Federal-Aviation-Administration	https://avatars.githubusercontent.com/u/5862662?v=3	www.faa.gov		3	1	
federaltradecommission	Government	FTC		https://github.com/FederalTradeCommission	https://avatars.githubusercontent.com/u/9850473?v=3	http://www.ftc.gov		3	0	
fedspendingtransparency	Government	GSA	fed-spending-transparency-collaboration@gsa.gov	https://github.com/fedspendingtransparency	https://avatars.githubusercontent.com/u/8397762?v=3			3	0	
globegit	Government	NASA		https://github.com/globegit	https://avatars.githubusercontent.com/u/129701?v=3	globe.gov		14	0	
gopleader		Congressional	Eric Cantor	https://github.com/gopleader	https://avatars.githubusercontent.com/u/2595014?v=3	https://twitter.com/repericcantor		0	0	
government-services	Government	GSA	18F	https://github.com/government-services	https://avatars.githubusercontent.com/u/5544435?v=3			3	0	
GreatSmokyMountainsNationalPark	Government	Interior	NPS	https://github.com/GreatSmokyMountainsNationalPark	https://avatars.githubusercontent.com/u/6872297?v=3			3	1	
gsa	Government	GSA		https://github.com/GSA	https://avatars.githubusercontent.com/u/643070?v=3	gsa.gov/developer		181	0	
GSA-Archive	Government	GSA		https://github.com/GSA-Archive	https://avatars.githubusercontent.com/u/1873611?v=3	www.gsa.gov		0	0	
hhs	Government	HHS		https://github.com/HHS	https://avatars.githubusercontent.com/u/1470878?v=3	http://www.healthdata.gov	john.stange@eglobaltech.com	18	3	
HHSDigitalMediaAPIPlatform	Government	HHS		https://github.com/HHSDigitalMediaAPIPlatform	https://avatars.githubusercontent.com/u/8135531?v=3			10	1	
HHSIDEAlab	Government	HHS		https://github.com/HHSIDEAlab	https://avatars.githubusercontent.com/u/5348654?v=3	http://hhs.gov/idealab		12	0	
historyatstate	Government	State	Office of the Historian	https://github.com/HistoryAtState	https://avatars.githubusercontent.com/u/4379724?v=3	https://history.state.gov/	history@state.gov	2	0	
hpc	FFRDC	Energy	Los Alamos National Labs	https://github.com/hpc	https://avatars.githubusercontent.com/u/957578?v=3	http://hpc.github.io/	github-hpc@lanl.gov	52	0	
IIP-Design	Government	State	Bureau of International Information Programs	https://github.com/IIP-Design	https://avatars.githubusercontent.com/u/5270699?v=3			9	4	
IMDProjects		NGE		https://github.com/IMDProjects	https://avatars.githubusercontent.com/u/6925474?v=3			5	1	
immojn	Government	Interior	NPS	https://github.com/immojn	https://avatars.githubusercontent.com/u/10190384?v=3			5	0	
informaticslab	Government	HHS	CDC	https://github.com/informaticslab	https://avatars.githubusercontent.com/u/1820436?v=3	http://www.phiresearchlab.org	InformaticsLab@cdc.gov	52	1	
Innovation-Toolkit		NGE	PIF	https://github.com/Innovation-Toolkit	https://avatars.githubusercontent.com/u/4909006?v=3			5	0	
ioos	Government	NOAA		https://github.com/ioos	https://avatars.githubusercontent.com/u/5313832?v=3	http://ioos.github.io		50	4	Technical documentation and software supporting IOOS Data Management and Communications.
IRSgov	Government	Treasury	IRS	https://github.com/IRSgov	https://avatars.githubusercontent.com/u/6642852?v=3	http://irs.gov/		3	0	
JBEI	Government	Energy		https://github.com/JBEI	https://avatars.githubusercontent.com/u/2145783?v=3	http://jbei.org		7	5	
JPLOpenSource	FFRDC	NASA	Jet Propulsion Laboratory	https://github.com/JPLOpenSource	https://avatars.githubusercontent.com/u/8304938?v=3			1	0	
kbase	Government	Energy	Department of Science	https://github.com/kbase	https://avatars.githubusercontent.com/u/1263946?v=3	http://kbase.us/	igordon@anl.gov	97	2	The Department of Energy Systems Biology Knowledgebase
libraryofcongress	Government	Congressional		https://github.com/LibraryOfCongress	https://avatars.githubusercontent.com/u/2070730?v=3	http://www.loc.gov		13	0	
losalamos	FFRDC	Energy	Los Alamos National Labs	https://github.com/losalamos	https://avatars.githubusercontent.com/u/585305?v=3	http://www.lanl.gov		27	0	
M-O-S-E-S	Government	DOD	United States Army Simulation and Training Technology Center	https://github.com/M-O-S-E-S	https://avatars.githubusercontent.com/u/6727259?v=3			8	1	
mcc-gov	Government	The Millennium Challenge Corporation		https://github.com/mcc-gov	https://avatars.githubusercontent.com/u/3706120?v=3	data.mcc.gov	opendata@mcc.gov	6	0	
nasa	Government	NASA		https://github.com/nasa	https://avatars.githubusercontent.com/u/848102?v=3	http://www.nasa.gov	github@lists.nasa.gov	62	5	
nasa-gibs	Government	NASA		https://github.com/nasa-gibs	https://avatars.githubusercontent.com/u/6089130?v=3	https://earthdata.nasa.gov/gibs		10	2	
NASA-rdt	Government	NASA		https://github.com/NASA-rdt	https://avatars.githubusercontent.com/u/7966119?v=3			6	0	Code 408 SSCO
nasajpl	Government	NASA		https://github.com/nasajpl	https://avatars.githubusercontent.com/u/5290984?v=3	http://www.jpl.nasa.gov		1	1	
NationalGuard	Government	DOD	National Guard	https://github.com/NationalGuard	https://avatars.githubusercontent.com/u/5047134?v=3	http://www.nationalguard.mil/		0	0	
nationalparkservice	Government	Interior	NPS	https://github.com/nationalparkservice	https://avatars.githubusercontent.com/u/1126069?v=3	http://www.nps.gov		40	3	Since 1916, the American people have entrusted the National Park Service with the care of their national parks.
ncats	Government	HHS	NIH	https://github.com/ncats	https://avatars.githubusercontent.com/u/1771365?v=3	https://tripod.nih.gov		4	0	
ncbi	Government	HHS	NIH	https://github.com/ncbi	https://avatars.githubusercontent.com/u/3812119?v=3	http://www.ncbi.nlm.nih.gov	github-tools@ncbi.nlm.nih.gov	21	2	
ncip	Government	HHS	NIH	https://github.com/NCIP	https://avatars.githubusercontent.com/u/2387173?v=3	http://ncip.nci.nih.gov/	opensource@nci.nih.gov	141	1	
NCPP	Grant?	Energy	University of Colorado	https://github.com/NCPP	https://avatars.githubusercontent.com/u/609440?v=3	http://earthsystemcog.org/projects/ncpp/		12	1	
NCRN	Government	Interior	NPS	https://github.com/NCRN	https://avatars.githubusercontent.com/u/7408711?v=3	http://science.nature.nps.gov/im/units/ncrn/		5	1	NCRN Inventory and Monitoring Network
NDAR	Government	HHS	NIH	https://github.com/NDAR	https://avatars.githubusercontent.com/u/5272947?v=3	https://ndar.nih.gov	ndarhelp@mail.nih.gov	3	0	
NeoGeographyToolkit	Government	NASA		https://github.com/NeoGeographyToolkit	https://avatars.githubusercontent.com/u/302310?v=3	http://irg.arc.nasa.gov/ngt		10	0	
NERSC	FFRDC	Energy	Lawrence Berkley National Laboratory	https://github.com/NERSC	https://avatars.githubusercontent.com/u/1380484?v=3	www.nersc.gov		9	0	
ngds	Grant	Energy		https://github.com/ngds	https://avatars.githubusercontent.com/u/2700611?v=3	http://geothermaldata.org		16	8	
nhanes	Government	HHS	CDC	https://github.com/nhanes	https://avatars.githubusercontent.com/u/7491267?v=3	http://www.cdc.gov/nchs/nhanes.htm		3	1	Informal group of public users of NHANES
nhlbi	Government	HHS	NIH	https://github.com/NHLBI	https://avatars.githubusercontent.com/u/4061889?v=3	http://www.nhlbi.nih.gov/		0	0	
niaid	Government	HHS	NIH	https://github.com/niaid	https://avatars.githubusercontent.com/u/8700816?v=3	http://www.niaid.nih.gov		1	1	
NIEM	Government	Homeland Security		https://github.com/NIEM	https://avatars.githubusercontent.com/u/8201902?v=3	https://www.niem.gov	information@niem.gov	9	1	NIEM is a community-driven, standards-based approach to exchanging information.
NIST-BWS	Government	NIST		https://github.com/NIST-BWS	https://avatars.githubusercontent.com/u/3775839?v=3	http://bws.nist.gov/		5	1	
NMB-Dev	Government	National Mediation Board		https://github.com/NMB-Dev	https://avatars.githubusercontent.com/u/8782476?v=3			13	0	
NMML	Government	Commerce	NOAA	https://github.com/NMML	https://avatars.githubusercontent.com/u/872044?v=3	http://www.afsc.noaa.gov/NMML/		22	3	science developers at the NOAA Fisheries National Marine Mammal Laboratory in Seattle, WA
noaa-gfdl	Government	Commerce	NOAA	https://github.com/NOAA-GFDL	https://avatars.githubusercontent.com/u/11219395?v=3	www.gfdl.noaa.gov	gfdl.climate.model.info@noaa.gov	6	1	U.S Department of Commerce, National Oceanic and Atmospheric Administration
NOAA-ORR-ERD	Government	Commerce	NOAA	https://github.com/NOAA-ORR-ERD	https://avatars.githubusercontent.com/u/4809476?v=3	response.restoration.noaa.gov	Chris.Barker@noaa.gov	13	1	
nrel	FFRDC	Energy	National Renewable Energy Laboratory	https://github.com/NREL	https://avatars.githubusercontent.com/u/1906800?v=3	http://www.nrel.gov		50	19	
NREL-cookbooks	FFRDC	Energy	National Renewable Energy Laboratory	https://github.com/NREL-cookbooks	https://avatars.githubusercontent.com/u/2279120?v=3			81	23	
ntia	Government	Commerce	National Telecommunications and Information Administration	https://github.com/NTIA	https://avatars.githubusercontent.com/u/6739857?v=3	http://www.its.bldrdoc.gov/		1	0	
ombegov	Government	OMB		https://github.com/ombegov	https://avatars.githubusercontent.com/u/10869085?v=3			1	0	
Open-Sat	Government	NASA		https://github.com/Open-Sat	https://avatars.githubusercontent.com/u/8602274?v=3			7	0	Establish a community for open source projects based on the NASA Goddard Space Flight Center's Core Flight System (CFS).
opengovplatform	Government	GSA	data.gov	https://github.com/opengovplatform	https://avatars.githubusercontent.com/u/1231768?v=3	http://opengovplatform.org	opengovplatform@gmail.com	5	0	
ozone-development		NGE		https://github.com/ozone-development	https://avatars.githubusercontent.com/u/6502184?v=3	http://ozone-development.github.io/ozone-website/		44	3	OZONE Development, Prototypes, and Deprecated software
ozoneplatform		NGE		https://github.com/ozoneplatform	https://avatars.githubusercontent.com/u/2932936?v=3	http://ozone-development.github.io/ozone-website/		9	0	OZONE Platform FOSS releases
peacecorps	Government	Peace Corps		https://github.com/PeaceCorps	https://avatars.githubusercontent.com/u/4389885?v=3	http://peacecorps.gov		28	0	Plug into Peace Corps' mission
PM-Master	Government	NIST		https://github.com/PM-Master	https://avatars.githubusercontent.com/u/6231734?v=3			2	1	
PNNL	FFRDC	Energy	Pacific Northwest National Laboratory	https://github.com/pnnl	https://avatars.githubusercontent.com/u/10872965?v=3	http://www.pnnl.gov/	dev-central@pnnl.gov	7	4	
presidential-innovation-fellows	Government	Whitehouse	PIF	https://github.com/presidential-innovation-fellows	https://avatars.githubusercontent.com/u/2146920?v=3	http://www.whitehouse.gov/innovationfellows		38	6	
project-open-data	Government	Whitehouse		https://github.com/project-open-data	https://avatars.githubusercontent.com/u/2349100?v=3	http://project-open-data.github.io		19	1	
redhawksdr		NGE		https://github.com/RedhawkSDR	https://avatars.githubusercontent.com/u/3696749?v=3	http://redhawksdr.github.com/Documentation		65	1	
SEED-platform	Government	Energy		https://github.com/SEED-platform	https://avatars.githubusercontent.com/u/7445100?v=3	http://energy.gov/eere/buildings/standard-energy-efficiency-data-platform	seed-support@lists.lbl.gov	3	0	Standard data platform for aggregating and managing building energy performance data
SelectUSA	Government	Commerce		https://github.com/SelectUSA	https://avatars.githubusercontent.com/u/10672010?v=3			2	1	
SERVIR		NGE		https://github.com/SERVIR	https://avatars.githubusercontent.com/u/8176548?v=3	https://www.servirglobal.net/		8	3	
Smithsonian	Government	Smithsonian		https://github.com/Smithsonian	https://avatars.githubusercontent.com/u/3631392?v=3	http://www.si.edu/		44	3	
sunpy		NGE		https://github.com/sunpy	https://avatars.githubusercontent.com/u/963197?v=3	http://www.sunpy.org		16	1	
usagov	Government	GSA		https://github.com/usagov	https://avatars.githubusercontent.com/u/1020090?v=3	http://usa.gov		2	1	
usaid	Government	USAID		https://github.com/USAID	https://avatars.githubusercontent.com/u/4051799?v=3	http://www.usaid.gov	opendata@usaid.gov	8	1	USAID is the lead U.S. Government agency that works to end extreme global poverty. Find our privacy policy at www.usaid.gov/privacy-policy
usasearch	Government	GSA		https://github.com/usasearch	https://avatars.githubusercontent.com/u/3768738?v=3	http://search.digitalgov.gov/	search@support.digitalgov.gov	1	0	
usbr	Government	Interior	Bureau of Reclamation	https://github.com/usbr	https://avatars.githubusercontent.com/u/7874779?v=3	http://www.usbr.gov/		7	0	
usda	Government	USDA		https://github.com/USDA	https://avatars.githubusercontent.com/u/3915031?v=3	www.usda.gov/developer		2	0	
USDA-ERS	Government	USDA	Economic Research Service	https://github.com/USDA-ERS	https://avatars.githubusercontent.com/u/4431158?v=3	http://ers.usda.gov		4	2	
usda-vs	Government	USDA	Veterinary Services	https://github.com/USDA-VS	https://avatars.githubusercontent.com/u/9865425?v=3		tod.p.stuber@usda.gov	1	0	USDA-Veterinary Services
usdepartmentoflabor	Government	Labor		https://github.com/USDepartmentofLabor	https://avatars.githubusercontent.com/u/2236061?v=3			43	1	
USDeptVeteransAffairs	Government	VA		https://github.com/USDeptVeteransAffairs	https://avatars.githubusercontent.com/u/7277410?v=3	www.va.gov		3	0	United States Department of Veterans Affairs
usepa	Government	EPA		https://github.com/USEPA	https://avatars.githubusercontent.com/u/1304320?v=3	www.epa.gov		16	1	
USFWS	Government	Interior	FWS	https://github.com/USFWS	https://avatars.githubusercontent.com/u/7990587?v=3	http://www.fws.gov		9	0	
usg-scope	Government	GSA		https://github.com/USG-SCOPE	https://avatars.githubusercontent.com/u/10088759?v=3	http://fedstats.sites.usa.gov/		1	0	
USGCRP	FFRDC	NSF	University Corporation for Atmospheric Research	https://github.com/USGCRP	https://avatars.githubusercontent.com/u/7650012?v=3	http://www.globalchange.gov		10	1	
usgpo	Government	GPO		https://github.com/usgpo	https://avatars.githubusercontent.com/u/11429478?v=3	http://www.gpo.gov		4	0	
usgs	Government	Interior	USGS	https://github.com/usgs	https://avatars.githubusercontent.com/u/1091434?v=3	www.usgs.gov		67	8	
USGS-Astrogeology	Government	Interior	USGS-Astrogeology	https://github.com/USGS-Astrogeology	https://avatars.githubusercontent.com/u/8268981?v=3		jlaura@usgs.gov	8	3	
USGS-CIDA	Government	Interior	USGS-CIDA	https://github.com/USGS-CIDA	https://avatars.githubusercontent.com/u/918179?v=3	cida.usgs.gov		78	6	
usgs-cmg	Government	Interior	usgs-cmg	https://github.com/USGS-CMG	https://avatars.githubusercontent.com/u/11758291?v=3	http://marine.usgs.gov		1	0	
USGS-OWI	Government	Interior	USGS-OWI	https://github.com/USGS-OWI	https://avatars.githubusercontent.com/u/7537393?v=3			8	0	USGS Office of Water Informaiton
USGS-R	Government	Interior	USGS-R	https://github.com/USGS-R	https://avatars.githubusercontent.com/u/3188813?v=3			43	5	
USGS-WiM	Government	Interior	USGS-WiM	https://github.com/USGS-WiM	https://avatars.githubusercontent.com/u/8713649?v=3	http://wim.usgs.gov		12	1	Wisconsin Internet Mapping (WiM) develops web-based tools that support USGS science and other federal science initiatives.
usindianaffairs	Government	Interior	Indian Affairs	https://github.com/usindianaffairs	https://avatars.githubusercontent.com/u/6360324?v=3			1	1	
usinterior	Government	Interior		https://github.com/usinterior	https://avatars.githubusercontent.com/u/3810719?v=3	www.doi.gov		7	0	
usnationalarchives	Government	National Archives		https://github.com/usnationalarchives	https://avatars.githubusercontent.com/u/1110487?v=3	http://www.archives.gov/developer	opengov@nara.gov	13	2	
usnistgov	Government	NIST		https://github.com/usnistgov	https://avatars.githubusercontent.com/u/5330158?v=3	http://www.nist.gov	data@nist.gov	35	1	Department of Commerce
USPS	Government	USPS		https://github.com/USPS	https://avatars.githubusercontent.com/u/7432313?v=3	https://www.usps.com/webtools	WebTools@USPS.gov	1	1	Developer Relations for USPS Web Tools APIs
USPTO	Government	Commerce	USPTO	https://github.com/USPTO	https://avatars.githubusercontent.com/u/9042992?v=3	http://www.uspto.gov	contactUXD@uspto.gov	2	0	Department of Commerce
usstatedept	Government	State		https://github.com/USStateDept	https://avatars.githubusercontent.com/u/6164937?v=3			43	10	The GitHub Organization for the State Department - For access, send your GitHub username to Isaiah Joo or Tim Hayes
vainnovation	Government	VA	VA Center for Innovation	https://github.com/vainnovation	https://avatars.githubusercontent.com/u/8593149?v=3	http://www.innovation.va.gov	innovation@va.gov	0	0	
VHAINNOVATIONS	Government	VA	VHA Center for Innovation	https://github.com/VHAINNOVATIONS	https://avatars.githubusercontent.com/u/1252476?v=3			25	1	The VHA Innovation Program identifies, tests, and evaluates innovative solutions to help VA better serve Veterans
virtual-world-framework	Grant?	DoD		https://github.com/virtual-world-framework	https://avatars.githubusercontent.com/u/1552130?v=3	https://virtual.wf		10	0	
visionworkbench	Government	NASA		https://github.com/visionworkbench	https://avatars.githubusercontent.com/u/276171?v=3	http://ti.arc.nasa.gov/project/nasa-vision-workbench/		1	0	
WFMRDA	Government	Interior	Wildland Fire Management	https://github.com/WFMRDA	https://avatars.githubusercontent.com/u/6404002?v=3			5	0	
whitehouse	Government	Whitehouse		https://github.com/WhiteHouse	https://avatars.githubusercontent.com/u/2043741?v=3	http://www.whitehouse.gov/developers		32	13	
